fName,lastName,birthday,title,roleName
Kofi,Ghanaba,1984-08-26,Sankofa,Anna
Mel,Giedroyc,1957-10-19,The Great British Baking Show,Sophie
Melissa,McCarthy,1988-11-27,The Starling,David Kim
Luna,Wedler,1954-01-13,Je Suis Karl,Anna
Adam,Sandler,1977-07-07,Jeans,David Kim
Keri,Russell,1992-07-21,Grown Ups,Barbie
Liam,Hemsworth,1971-09-08,Dark Skies,David Kim
Billy,Magnussen,1995-07-19,Paranoia,Barbie
Roy,Scheider,1992-07-19,Birth of the Dragon,Barbie
Dennis,Quaid,1953-06-12,Jaws,Anna
Lorraine,Gary,1971-06-09,Jaws 2,Dog
Denzel,Washington,1980-05-22,Jaws 3,David Kim
Kappei,Yamaguchi,1955-12-27,Jaws: The Revenge,David Kim
Junko,Takeuchi,1969-09-14,Safe House,Dog
Sola,Sobowale,1989-11-11,Training Day,Anna
Mary,Elizabeth,1969-10-25,InuYasha the Movie 2: The Castle Beyond the Looking Glass,David Kim
Funke,Akindele,1996-02-10,InuYasha the Movie 3: Swords of an Honorable Ruler,David Kim
Emma,Roberts,1997-11-16,InuYasha the Movie 4: Fire on the Mystic Island,Barbie
Will,Arnett,1987-10-26,InuYasha the Movie: Affections Touching Across Time,Anna
Ronnie,Van,1976-05-30,Naruto Shippuden the Movie: Blood Prison,Anna
Antony,Varghese,1953-09-17,Naruto ShippÃ»den the Movie: Bonds,Anna
Mandy,Grace,1997-02-20,Naruto ShippÃ»den the Movie: The Will of Fire,Anna
Madhuri,Dixit,1975-11-12,Naruto Shippuden: The Movie,Anna
Abbie,Cornish,1999-02-11,Naruto Shippuden: The Movie: The Lost Tower,Anna
Krrish,Chhabria,2000-09-07,Naruto the Movie 2: Legend of the Stone of Gelel,David Kim
Akshay,Oberoi,1950-04-01,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Sophie
Meg,Ryan,1968-12-12,Naruto the Movie: Ninja Clash in the Land of Snow,Barbie
Aadil,Khan,1996-05-03,King of Boys,Dog
Hilary,Duff,1998-11-16,Kate,Anna
Robert,Redford,1953-08-23,Omo Ghetto: the Saga,Barbie
Harrison,Ford,1993-10-01,Paradise Hills,Barbie
Sharlto,Copley,1963-10-28,Show Dogs,Dog
Sylvester,Stallone,1986-01-21,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,David Kim
Jude,Law,1952-01-07,Angamaly Diaries,David Kim
Paul,Hogan,1990-08-18,A Champion Heart,Barbie
Channing,Tatum,1960-03-08,Anjaam,David Kim
Danny,Aiello,1957-01-11,Bright Star,David Kim
Joaquín,Furriel,1971-09-24,Dhanak,Sophie
Bruce,Willis,1969-03-08,Gurgaon,Anna
Hilary,Swank,1987-01-04,In the Cut,Anna
Ryan,Reynolds,1984-09-26,Shikara,Dog
Christopher,Reid,2001-05-29,A Cinderella Story,Anna
Master,P,1972-09-03,An Unfinished Life,Anna
Omar,Epps,1961-09-21,Blade Runner: The Final Cut,Dog
Jay,Chou,1969-11-20,Chappie,Anna
Jai,Brooks,1953-12-03,Clear and Present Danger,Dog
David,Bowie,1998-12-20,Cliffhanger,David Kim
Amanda,Seyfried,1982-04-15,Cold Mountain,Dog
Katie,Douglas,2002-10-25,Crocodile Dundee in Los Angeles,Dog
Nick,Cannon,1984-06-20,Dear John,Barbie
Miriam,Chin,1981-10-21,Do the Right Thing,Barbie
Jack,Nicholson,1973-11-22,"El patrÃ³n, radiografÃ­a de un crimen",Dog
Chadwick,Boseman,1965-01-21,Extraction,Barbie
Ashton,Kutcher,1989-03-02,Freedom Writers,Dog
Ben,Stiller,1959-05-10,Green Lantern,Dog
Robert,De,1951-09-18,House Party,Anna
Joel,McHale,1968-03-26,House Party 2,Dog
Chris,Rock,1955-03-12,House Party 3,Barbie
Josh,Lucas,1975-07-30,I Got the Hook Up,Sophie
Too,$hort,1961-07-21,In Too Deep,Barbie
Greg,Kinnear,1974-01-10,Initial D,Anna
Jack,Black,1987-08-18,Janoskians: Untold and Untrue,Anna
Tyler,Oakley,1960-12-02,Labyrinth,Anna
Brooke,Shields,1980-12-07,Letters to Juliet,David Kim
Eddie,Murphy,1973-06-23,Level 16,David Kim
Gregory,Peck,1950-11-26,Love Don't Cost a Thing,Dog
James,Franco,1968-08-21,Love in a Puff,Sophie
Martin,Lawrence,1993-12-30,Mars Attacks!,David Kim
Clint,Eastwood,1950-02-18,Marshall,Dog
Ramzy,Bedia,1988-03-13,My Boss's Daughter,Dog
Satya,Dev,1986-02-16,Mystery Men,Dog
Jeremy,Renner,2002-02-18,Once Upon a Time in America,David Kim
Mithun,Chakraborty,1995-09-12,Open Season 2,Sophie
Sanjay,Dutt,1995-09-01,Osmosis Jones,David Kim
Aftab,Shivdasani,1996-05-06,Poseidon,Barbie
Sohail,Khan,1968-04-01,Rhyme & Reason,Anna
Tusshar,Kapoor,1950-02-24,Same Kind of Different as Me,Barbie
Nushrat,Bharucha,1966-08-05,School of Rock,Anna
Vivek,Oberoi,1998-06-19,Snervous Tyler Oakley,Barbie
Ajay,Devgn,1957-04-24,Tears of the Sun,Barbie
Akshay,Kumar,1971-12-04,The Blue Lagoon,Barbie
Kainaz,Motivala,1958-07-07,The Golden Child,Barbie
Sunny,Leone,1984-12-29,The Guns of Navarone,David Kim
Amitabh,Bachchan,1964-03-21,The Interview,David Kim
Sendhil,Ramamurthy,1953-04-25,The Nutty Professor,David Kim
Vidya,Balan,1981-10-17,Welcome Home Roscoe Jenkins,Anna
Kofi,Siriboe,1961-06-29,In the Line of Fire,Sophie
Pierce,Brosnan,2000-10-25,2 Alone in Paris,Barbie
Brigitte,Kali,1991-08-01,Thimmarusu,Anna
David,Oyelowo,1991-07-10,Wind River,Barbie
Jason,Momoa,1980-04-15,C Kkompany,Barbie
Anton,Yelchin,1984-12-20,EMI: Liya Hai To Chukana Padega,David Kim
Arvind,Swamy,1956-11-10,King of Boys: The Return of the King,Barbie
Anmol,Limbu,1955-06-11,Koi Aap Sa,David Kim
Elizabeth,Banks,1989-07-13,Krishna Cottage,Sophie
Holly,Hunter,1951-11-06,Kucch To Hai,Barbie
John,David,1970-10-01,Kyaa Kool Hai Hum,Anna
Finnegan,Oldfield,1992-07-04,Kyaa Kool Hain Hum 3,Anna
Diana,Gómez,1953-03-27,Kyaa Super Kool Hain Hum,Barbie
Lokillo,Florez,1973-12-30,Kyo Kii... Main Jhuth Nahin Bolta,Anna
Ben,Rausch,1973-09-26,"LSD: Love, Sex Aur Dhokha",Barbie
Mike,Ezuruonye,1994-01-14,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Anna
Ximena,Romo,1974-11-12,Once Upon a Time in Mumbaai,Dog
Joey,King,1985-07-02,Once Upon a Time in Mumbai Dobaara!,Sophie
Colin,Firth,1965-12-19,Ragini MMS,Sophie
Maggie,Smith,1970-05-19,Ragini MMS 2,Anna
Enhle,Mbali,1967-07-18,Shootout at Lokhandwala,Barbie
Alain,Uy,1972-01-24,Shor In the City,Dog
Suliane,Brahim,1998-12-11,The Dirty Picture,Sophie
Lin-Manuel,Miranda,1984-10-22,Really Love,Dog
Shah,Rukh,2000-09-13,The November Man,Dog
Luis,Brandoni,1992-06-10,The Old Ways,Sophie
Jackie,Collins,1970-08-13,The Water Man,Anna
Fernán,Mirás,2002-10-23,Sweet Girl,Anna
Ramsey,Nouah,1984-01-24,Like Crazy,Dog
Ashley,Greene,2001-03-16,Bombay,Dog
David,Geffen,1990-08-17,Pahuna,Anna
Pruitt,Taylor,2000-10-08,Walk of Shame,Dog
Genevieve,Nnaji,1967-01-26,The Piano,David Kim
Roy,Chiu,1984-09-27,Beckett,Sophie
Charles,Grodin,1968-04-28,Gone for Good,David Kim
Ray,Winstone,2002-10-08,Valeria,David Kim
Scott,Adkins,1992-05-26,Lokillo: Nothing's the Same,David Kim
Leonardo,DiCaprio,1954-03-24,Monster Hunter: Legends of the Guild,Barbie
Bill,Hader,1965-06-01,Brother Jekwu,Anna
Thomas,Jane,1974-11-02,La diosa del asfalto,Dog
Matthew,Broderick,1996-04-01,The Kissing Booth 3,Sophie
Haley,Lu,1974-10-15,The Railway Man,Sophie
Samuel,L.,1992-06-07,Quartet,Barbie
Dane,Cook,1997-09-04,Slay,David Kim
John,C.,2003-08-09,The Paper Tigers,Barbie
Damon,Wayans,1995-07-04,Navarasa,Dog
Dan,Aykroyd,1961-05-10,Quam's Money,Dog
Anna,Chlumsky,1983-01-29,The Swarm,Dog
William,Townsend,1953-01-22,Vivo,Dog
Seth,Rogen,1951-07-22,Chennai Express,David Kim
Justin,Long,1993-12-12,Esperando la carroza,David Kim
Diane,Keaton,1974-02-05,Lady Boss: The Jackie Collins Story,Dog
Tobey,Maguire,1962-12-05,Tango Feroz,Anna
Trey,Parker,1993-01-28,76,Dog
Hailee,Steinfeld,1989-10-22,Aftermath,David Kim
Abigail,Spencer,1981-12-24,American Masters: Inventing David Geffen,Barbie
Matthew,McConaughey,1977-10-04,Heavy,Sophie
Jeffrey,Dean,1979-12-12,Ije: The Journey,Sophie
Christian,Bale,1951-10-17,Office Girls,Dog
Sandra,Bullock,1977-10-23,Beethoven,David Kim
Steve,Harvey,1973-01-29,Beethoven's 2nd,David Kim
Jessica,Alba,1950-11-26,Beowulf,Dog
Khaled,Abol,1983-03-13,Boyka: Undisputed,Barbie
Damilola,Adegbite,1973-02-25,Catch Me If You Can,Sophie
Józef,Paw?owski,1980-03-17,Cloudy with a Chance of Meatballs,Anna
Grant,Gustin,1972-09-28,Deep Blue Sea,Barbie
Diane,Kruger,1972-05-02,Ferris Bueller's Day Off,Dog
Jamie,Foxx,1999-01-21,Five Feet Apart,Anna
Emily,Morris,1971-07-30,Freedomland,Anna
Shailene,Woodley,1955-03-23,Good Luck Chuck,Sophie
Vatsal,Dubey,1959-11-21,Inception,Sophie
Rachel,House,1992-04-12,Magnolia,Anna
Blossom,Chukwujekwu,1973-11-07,Major Payne,Dog
Molly,Bernard,1962-11-09,My Girl,Barbie
Faisal,Al,1971-01-16,My Girl 2,Sophie
Frank,Grillo,1955-09-18,Open Season: Scared Silly,Sophie
Panisara,Rikulsurakan,1963-08-13,Pineapple Express,Sophie
Colin,Farrell,1954-05-28,Planet 51,David Kim
Naomi,Watts,2001-02-04,Poms,Anna
Kristen,Stewart,1968-01-17,Seabiscuit,Sophie
Nadya,Arina,1960-03-26,Space Cowboys,Sophie
Shia,LaBeouf,1960-03-27,Team America: World Police,Dog
Matilda,Lutz,1977-06-13,The Edge of Seventeen,Barbie
Hong,Chau,1955-03-23,The Haunting in Connecticut 2: Ghosts of Georgia,Sophie
Jesse,Eisenberg,1971-04-14,The Last Boy Scout,Sophie
Paul,Giamatti,1977-07-22,The Lincoln Lawyer,Barbie
Jassim,Al,1977-07-18,The Losers,Dog
Reese,Witherspoon,1993-08-29,The Machinist,Dog
Bella,Thorne,1995-06-17,The Net,Barbie
Bill,Murray,1964-01-03,The Original Kings of Comedy,Barbie
Paul,Walker,1994-05-24,Valentine's Day,Sophie
Andrzej,Seweryn,1961-07-21,Eyes of a Thief,Anna
Saskia,Hampele,1971-01-19,Flower Girl,Barbie
Peter,Yu,1978-10-30,Bartkowiak,Anna
Sanjay,Mishra,1996-01-24,The Flash,Sophie
Guggu,Gill,1968-04-07,Department,David Kim
Majida,El,1967-01-08,The Operative,Anna
Remy,Ishak,1970-12-05,Django Unchained,Sophie
Maudy,Koesnaedi,1970-05-03,A Second Chance:  Rivals!,David Kim
Makrand,Deshpande,1966-08-01,The Last Letter From Your Lover,Anna
Mala,Sinha,1980-07-09,Chhota Bheem And The Broken Amulet,Dog
Taapsee,Pannu,1953-07-04,Chhota Bheem aur Krishna,Sophie
Stan,Nze,1972-11-25,Cousins,David Kim
Chris,Evans,1994-04-22,Sanitation Day,Barbie
Lee,Sung-min,1970-01-12,Milkwater,Dog
Helen,Mirren,1954-10-25,The Tambour of Retribution,Dog
Jean-Claude,Van,1975-11-26,Cosmic Sin,Barbie
Mike,Myers,1985-04-20,Deep,Sophie
Mark,Wahlberg,1971-11-08,The Beguiled,Sophie
Cameron,Diaz,1957-11-04,The Book of Henry,Anna
Dylan,Walsh,2003-05-20,The Twilight Saga: Breaking Dawn: Part 1,David Kim
Walter,Matthau,1963-06-12,The Twilight Saga: Breaking Dawn: Part 2,Sophie
Tran,Nghia,1996-09-01,The Twilight Saga: Eclipse,Dog
Katherine,Heigl,1992-03-17,The Twilight Saga: New Moon,Sophie
Rooney,Mara,2002-04-15,Twilight,David Kim
Zhang,Ziyi,2001-08-02,A Perfect Fit,Barbie
Christophe,Lambert,1952-06-09,Surf's Up,Anna
Jennifer,Aniston,1992-02-10,A Classic Horror Story,Sophie
Natalie,Portman,1952-05-18,American Woman,Dog
Chyler,Leigh,1996-06-29,American Ultra,Sophie
Daisy,Ridley,1955-08-19,Ratchet and Clank,Barbie
Judi,Dench,1982-06-20,Back to Q82,Anna
