fName,lName,birthday,title,productionCompany
Haile,Gerima,1963-02-25,Eternals,"Sony Pictures
"
Andy,Devonshire,1973-11-15,Mamma Mia,"Warner Bros
"
Theodore,Melfi,1954-08-17,Money Ball,"Paramount
"
Christian,Schwochow,1974-02-14,Dune,"Paramount
"
S.,Shankar,1970-08-23,Eternals,"Paramount
"
Dennis,Dugan,1968-06-18,Star Wars,"Sony Pictures
"
Scott,Stewart,1950-12-08,Jaws,"Sony Pictures
"
Robert,Luketic,1958-03-24,Grease,"Universal Studios
"
George,Nolfi,1956-07-06,Pitch Perfect,"Sony Pictures
"
Steven,Spielberg,1975-04-20,Parasite,"Universal Studios
"
Jeannot,Szwarc,1955-11-30,Star Wars,"Metro Goldwyn Mayer
"
Joe,Alves,1951-11-02,Pitch Perfect,"Universal Studios
"
Joseph,Sargent,1965-02-17,Pitch Perfect,"20th Century Fox
"
Daniel,Espinosa,1955-02-04,Grease,"Sony Pictures
"
Antoine,Fuqua,1962-09-02,Money Ball,"Paramount
"
Toshiya,Shinohara,1958-05-15,House of Gucci,"Metro Goldwyn Mayer
"
Masahiko,Murata,1964-01-20,House of Gucci,"Paramount
"
Hajime,Kamegaki,1969-10-31,Planet Earth,"Paramount
"
Hirotsugu,Kawasaki,1956-02-08,Up,"Universal Studios
"
Toshiyuki,Tsuru,1962-01-06,Dune,"20th Century Fox
"
Tensai,Okamura,1954-08-22,Mamma Mia,"20th Century Fox
"
Kemi,Adetiba,1963-09-27,Grown Ups,"Universal Studios
"
Cedric,Nicolas-Troyan,1954-03-16,Black Widow,"Disney
"
JJC,Skillz,1955-06-01,Eternals,"Universal Studios
"
Alice,Waddington,1951-07-06,Grown Ups,"Universal Studios
"
Raja,Gosnell,1953-02-09,Planet Earth,"Universal Studios
"
Stephen,Kijak,1964-04-04,House of Gucci,"Sony Pictures
"
Lijo,Jose,1970-06-18,Money Ball,"Universal Studios
"
David,de,1954-01-02,Mamma Mia,"Sony Pictures
"
Rahul,Rawail,1959-01-07,Money Ball,"Sony Pictures
"
Jane,Campion,1963-09-19,Star Wars,"Paramount
"
Nagesh,Kukunoor,1972-07-06,Mamma Mia,"Universal Studios
"
Shanker,Raman,1975-09-03,Pitch Perfect,"Disney
"
Vidhu,Vinod,1961-07-05,Jaws,"Metro Goldwyn Mayer
"
Mark,Rosman,1955-04-12,Planet Earth,"Metro Goldwyn Mayer
"
Lasse,Hallström,1973-12-02,Captain Philips,"Metro Goldwyn Mayer
"
Ridley,Scott,1958-08-06,Jaws,"Metro Goldwyn Mayer
"
Neill,Blomkamp,1966-03-05,Parasite,"Disney
"
Phillip,Noyce,1954-05-28,House of Gucci,"Sony Pictures
"
Renny,Harlin,1967-08-13,Up,"Metro Goldwyn Mayer
"
Anthony,Minghella,1967-05-23,Jaws,"Warner Bros
"
Simon,Wincer,1972-07-24,Jaws,"20th Century Fox
"
Spike,Lee,1975-05-30,Mamma Mia,"Metro Goldwyn Mayer
"
Sebastián,Schindel,1966-07-19,Eternals,"Metro Goldwyn Mayer
"
Steven,C.,1964-02-19,Money Ball,"Paramount
"
Richard,LaGravenese,1966-05-30,House of Gucci,"Disney
"
Martin,Campbell,1974-02-01,Planet Earth,"Disney
"
Reginald,Hudlin,1955-01-15,Black Widow,"Warner Bros
"
George,Jackson,1963-05-11,Mamma Mia,"Universal Studios
"
Eric,Meza,1971-06-05,Mamma Mia,"Warner Bros
"
Michael,Martin,1955-09-22,Captain Philips,"Warner Bros
"
Michael,Rymer,1966-06-06,Captain Philips,"Universal Studios
"
Andrew,Lau,1954-02-05,Grease,"Metro Goldwyn Mayer
"
Brett,Weiner,1971-03-29,Eternals,"20th Century Fox
"
Jim,Henson,1963-09-12,Grease,"20th Century Fox
"
Gary,Winick,1964-10-18,Eternals,"Paramount
"
Danishka,Esterhazy,1970-07-10,Black Widow,"Metro Goldwyn Mayer
"
Troy,Byer,1953-08-02,Money Ball,"Paramount
"
Pang,Ho-cheung,1974-12-07,Jaws,"20th Century Fox
"
Tim,Burton,1964-06-04,Parasite,"20th Century Fox
"
David,Zucker,1958-05-26,Grease,"Disney
"
Kinka,Usher,1971-12-22,Black Widow,"Universal Studios
"
Sergio,Leone,1973-02-20,Star Wars,"Paramount
"
Matthew,O'Callaghan,1964-07-26,Up,"Paramount
"
Bobby,Farrelly,1964-12-27,House of Gucci,"Sony Pictures
"
Wolfgang,Petersen,1952-10-20,Grown Ups,"Metro Goldwyn Mayer
"
Peter,Spirer,1950-04-17,Parasite,"Metro Goldwyn Mayer
"
Michael,Carney,1971-04-15,Black Widow,"Universal Studios
"
Richard,Linklater,1968-02-05,Grease,"20th Century Fox
"
Amy,Rice,1974-02-11,Black Widow,"Disney
"
Randal,Kleiser,1953-07-09,Captain Philips,"Warner Bros
"
Michael,Ritchie,1961-05-21,Jaws,"Sony Pictures
"
J.,Lee,1973-07-15,Black Widow,"Disney
"
Evan,Goldberg,1957-01-20,House of Gucci,"Sony Pictures
"
Tom,Shadyac,1974-08-25,Star Wars,"Disney
"
Malcolm,D,1969-06-23,Dune,"20th Century Fox
"
Ramzy,Bedia,1973-01-18,Black Widow,"Metro Goldwyn Mayer
"
Sharan,Koppisetty,1954-01-26,Pitch Perfect,"Disney
"
Taylor,Sheridan,1951-01-16,House of Gucci,"20th Century Fox
"
Sachin,Yardi,1969-08-19,House of Gucci,"Paramount
"
Saurabh,Kabra,1972-07-23,Black Widow,"Warner Bros
"
Partho,Mitra,1970-07-10,Grease,"20th Century Fox
"
Santram,Varma,1972-06-08,Dune,"Disney
"
Anil,V,1974-11-18,Mamma Mia,"20th Century Fox
"
Sangeeth,Sivan,1954-04-09,Pitch Perfect,"20th Century Fox
"
Umesh,Ghadge,1951-09-17,Dune,"Disney
"
David,Dhawan,1969-11-03,Parasite,"Sony Pictures
"
Dibakar,Banerjee,1973-09-27,Grown Ups,"Sony Pictures
"
Apoorva,Lakhia,1972-09-20,Jaws,"Sony Pictures
"
Milan,Luthria,1966-07-05,Jaws,"Metro Goldwyn Mayer
"
Pawan,Kripalani,1967-04-11,Grown Ups,"20th Century Fox
"
Bhushan,Patel,1973-07-15,Up,"Warner Bros
"
Raj,Nidimoru,1961-07-01,Grease,"Sony Pictures
"
Angel,Kristi,1968-04-26,Jaws,"Universal Studios
"
Roger,Donaldson,1969-01-15,Eternals,"20th Century Fox
"
Christopher,Alender,1959-10-19,Up,"Sony Pictures
"
David,Oyelowo,1952-10-28,Pitch Perfect,"Paramount
"
Brian,Andrew,1954-10-10,Money Ball,"Metro Goldwyn Mayer
"
Drake,Doremus,1959-07-24,Star Wars,"Paramount
"
Mani,Ratnam,1969-04-18,Captain Philips,"Sony Pictures
"
Paakhi,Tyrewala,1969-04-03,Eternals,"Paramount
"
Steve,Brill,1957-02-01,Grease,"20th Century Fox
"
Ferdinando,Cito,1964-02-21,Grease,"20th Century Fox
"
Juan,Carlos,1959-10-21,Mamma Mia,"Warner Bros
"
Inma,Torrente,1972-04-13,Captain Philips,"Disney
"
