emailAddress,firstName,lastName,paymentMethod,Location,Language
patrizia6210@xxxx.xxx,James,Smith,Mobile Payment,Canada,Spanish
sbm0571@xxxx.xxx,Michael,Smith,Mobile Payment,China,Chinese
warnazzz@xxxx.xxx,Robert,Smith,Credit,United States,English
maestre1977@xxxx.xxx,David,Smith,Mobile Payment,Canada,French
ptitfreds@xxxx.xxx,James,Johnson,Mobile Payment,Canada,English
barroskin@xxxx.xxx,Michael,Johnson,Mobile Payment,Canada,English
jean.luc.dupond1964@xxxx.xxx,William,Smith,Credit,China,English
francescovalentini@xxxx.xxx,James,Williams,Mobile Payment,United States,French
silvermist_cai87@xxxx.xxx,Robert,Johnson,Debit,Canada,English
saad-3030@xxxx.xxx,Mary,Smith,Debit,United States,Chinese
rychlun82@xxxx.xxx,James,Brown,Debit,China,English
danteredman@xxxx.xxx,John,Smith,Mobile Payment,United States,English
marathon_6@xxxx.xxx,David,Johnson,Mobile Payment,United States,Chinese
plff75@xxxx.xxx,Michael,Brown,Credit,Canada,English
strabimba@xxxx.xxx,Maria,Garcia,Mobile Payment,Canada,Chinese
jeanmihuet@xxxx.xxx,Michael,Williams,Debit,Canada,Chinese
a_cynthiascott5@xxxx.xxx,Michael,Jones,Credit,Unites States,English
fedydb81@xxxx.xxx,James,Jones,Mobile Payment,Unites States,English
www.angel_406@xxxx.xxx,Maria,Rodriguez,Credit,China,English
dirtymeeeee@xxxx.xxx,Robert,Brown,Mobile Payment,United States,English
pokpok_51@xxxx.xxx,Michael,Miller,Credit,Canada,English
stefyby96@xxxx.xxx,Robert,Jones,Mobile Payment,Canada,English
e.cernera@xxxx.xxx,Robert,Williams,Mobile Payment,Canada,Spanish
pes6liga@xxxx.xxx,William,Johnson,Debit,Canada,Chinese
fran@xxxx.xxx,James,Davis,Mobile Payment,Canada,Chinese
ayoube_1515@xxxx.xxx,Mary,Johnson,Mobile Payment,Canada,English
sev_da_18@xxxx.xxx,Maria,Martinez,Mobile Payment,United States,English
fraffy412@xxxx.xxx,Charles,Smith,Debit,United States,English
